type,model_mkt,display_name
monitors,Designo MZ27AQ,Designo MZ27AQ
zenbo,Zenbo Junior II,Zenbo Junior II
servers,ESC4000 G4S,ESC4000 G4S
desktops,ExpertCenter Pro ET700I W7,ExpertCenter Pro ET700I W7
aiot,Anti-tamper deadbolt DL210,Anti-tamper deadbolt DL210
aiot,MXM-M23B-E5,MXM-M23B-E5
projectors,ZenBeam Go E1Z,ASUS ZenBeam Go E1Z 
iot,N3350T-IM-A,N3350T-IM-A
monitors,VP229HA-P,VP229HA-P
motherboards,H110T,H110T
iot,C7136ES-IM-AA,C7136ES-IM-AA
monitors,TUF Gaming VG32VQE,TUF GAMING VG32VQE
monitors,BE249QLB,BE249QLB
aiot,Coral M.2 Accelerator B+M key,Coral M.2 Accelerator B+M key
aiot,OW100,PureGo OW100 活氧水殺菌機
monitors,VP247HAE,VP247HAE
iot,MIPI CONVERTER,MIPI 轉接器
projectors,ZenBeam E1,ASUS ZenBeam E1
iot,Tinker Edge T,Tinker Edge T
aiot,AISPHM,AISPHM
motherboards,PRIME B450M-A,PRIME B450M-A
wearable-healthcare,ASUS VivoWatch SP (HC-A05),ASUS VivoWatch SP (HC-A05)
motherboards,PRIME X570-PRO,PRIME X570-PRO
laptops,FA608WI,ASUS TUF Gaming A16 (2024) FA608
iot,R1305I-IM-B,R1305I-IM-B
iot,Q470EI-IM-A,Q470EI-IM-A
zenbo,Zenbo Junior,Zenbo Junior
monitors,VE278Q,VE278Q
iot,R1606I-IM-B,R1606I-IM-B
laptops,Vivobook E402NA,Vivobook E402NA
servers,RS300-E11-PS4,RS300-E11-PS4
monitors,VG275Q,VG275Q
monitors,HA3281A,HA3281A
iot,H310M-IM-A,H310M-IM-A
monitors,VP247H,VP247H
monitors,ZenScreen Go MB16AP,ZenScreen Go MB16AP
accessories,ASUS Triton Backpack,ASUS Triton Backpack
nucs,NUC 13 Extreme Compute Element,NUC 13 Extreme Compute Element
monitors,VE247H,VE247H
aiot,Azure Percept Audio,Azure Percept Audio
nucs,NUC 11 Essential Kit,NUC 11 Essential Kit
iot,IMX8P-IM-A,IMX8P-IM-A
iot,TPM-SPI-A,TPM-SPI-A
laptops,"ExpertBook B5 (B5402C, 11th Gen Intel)","ExpertBook B5 (B5402C, 11th Gen Intel)"
iot,Tinker Board S,Tinker Board S
aiot,Coral Dev Board Micro Case,Coral Dev Board Micro Case
zenbo,PINbo Let's Code!,PINbo Let's Code!
accessories,DRW-24F1ST,DRW-24F1ST
monitors,VZ279HE,VZ279HE
motherboards,ThunderboltEX 4,ThunderboltEX 4
aiot,PE4000G,PE4000G
aiot,PE1100N,PE1100N
desktops,ExpertCenter D8 Mini Tower (D800MDR),ExpertCenter D8 Mini Tower (D800MDR)
monitors,VE248H,VE248H
servers,ESC4000 DHD G4,ESC4000 DHD G4
iot,Q670EI-IM-A,Q670EI-IM-A
aiot,PoE Add-on board for Coral Dev Board Micro,PoE Add-on board for Coral Dev Board Micro
iot,Tinker Edge R,Tinker Edge R
iot,Tinker Board,Tinker Board
iot,C3131ES-IM-AA,C3131ES-IM-AA
nucs,NUC 12 Extreme Compute Element,NUC 12 Extreme Compute Element
iot,H110A-IM-AB,H110A-IM-AB
motherboards,PRIME X299-DELUXE II,PRIME X299-DELUXE II
iot,Tinker Board 3N PLUS,Tinker Board 3N PLUS
nucs,NUC 11 Extreme Compute Element,NUC 11 Extreme Compute Element
monitors,ProArt Display PA27AC,ProArt Display PA27AC
iot,R1505I-IM-A,R1505I-IM-A
wearable-healthcare,ASUS VivoWatch 5 (HC-B05),ASUS VivoWatch 5
laptops,K333,ASUS VivoBook S13 K333E
monitors,ASUS TUF Gaming FX10CP,ASUS TUF Gaming FX10CP
desktops,Pro E500 G7,Pro E500 G7
nucs,NUC 11 Performance Kit,NUC 11 Performance Kit
mini-pcs,Mini PC PB61V,Mini PC PB61V
aiot,MXM-M23B-P7,MXM-M23B-P7
monitors,VG279Q,VG279Q
aiot,MXM-M23B-P5,MXM-M23B-P5
motherboards,TUF GAMING B550-PLUS (WI-FI),TUF GAMING B550-PLUS (WI-FI)
monitors,VP279N,VP279N
motherboards,Pro WS W480-ACE,Pro WS W480-ACE
nucs,NUC 13 Extreme Kit,NUC 13 Extreme Kit
all-in-one-pcs,Zen AiO 27 ZN270,Zen AiO27 ZN270
iot,H110A-IM-A,H110A-IM-A
servers,RS720-E10-RS12E,RS720-E10-RS12E
iot,R680EA-IM-A,R680EA-IM-A
iot,Tinker Board 2,Tinker Board 2
aiot,Coral System-on-Module (SoM),Coral System-on-Module (SoM)
nucs,ASUS ExpertCenter PN64-E1(Barebone),ASUS ExpertCenter PN64-E1
aiot,Coral Mini PCIe Accelerator,Coral Mini PCIe Accelerator
monitors,VP228NE,VP228NE
accessories,Universal Dock,Universal Dock
nucs,NUC Pro Chassis Element,NUC Pro Chassis Element
iot,E394S-IM-AA,E394S-IM-AA
accessories,ROG TwinView Dock 3 (ZS661KSS),ROG TwinView Dock 3 (ZS661KSS)
monitors,VP279QG,VP279QG
motherboards,PRIME A320M-A/CSM,PRIME A320M-A/CSM
laptops,ASUSPRO P5240UA,ASUSPRO P5240
iot,V1605I-IM-B,V1605I-IM-B
motherboards,TUF GAMING B550M-PLUS (WI-FI),TUF GAMING B550M-PLUS (WI-FI)
iot,C5143ES-IM-AA,C5143ES-IM-AA
nucs,NUC 12 Enthusiast Mini PC,NUC 12 Enthusiast Mini PC
monitors,VK278Q,VK278Q
motherboards,PRIME B550M-A (WI-FI),PRIME B550M-A (WI-FI)
motherboards,Pro WS X570-ACE,Pro WS X570-ACE
accessories,AeroActive Cooler 6,空氣動力風扇 6
accessories,90W Universal NB Square Adapter,90W Universal NB Square Adapter
monitors,VZ229H,VZ229H
aiot,Azure Percept DK,Azure Percept DK
monitors,VC239H,VC239H
wearable-healthcare,ASUS VivoWatch BP (HC-A04A),ASUS VivoWatch SE (HC-A04A)
motherboards,Z270-WS,Z270-WS
monitors,VP247TA-P,VP247TA-P
servers,PEB-10G/57840-2T,PEB-10G/57840-2T
monitors,VP249H,VP249H
wearable-healthcare,VivoWatch 5 Aero Plus,ASUS VivoWatch 5 Aero Plus
motherboards,PRIME Z590-A,PRIME Z590-A
accessories,ROG Ally Travel Case,ROG Ally Travel Case
nucs,NUC Board Element,NUC Board Element
nucs,NUC 12 Compute Element,NUC 12 Compute Element
aiot,WKLC6-IM-A,WKLC6-IM-A
aiot,PE100A,PE100A
desktops,ExpertCenter D9 SFF D900SDR,ExpertCenter D9 SFF (D900SDR)
desktops,ExpertCenter D8 SFF (D800SDR),ExpertCenter D8 SFF (D800SDR)
monitors,ProArt Display PA34VC,ProArt Display PA34VC
nucs,NUC 13 Pro Desk Edition Kit,NUC 13 Pro Desk Edition Kit
laptops,ASUSPRO P2440,ASUSPRO P2440
projectors,P3E,P3E
laptops,ASUS Chromebook C204MA,ASUS Chromebook C204
nucs,NUC 13 Compute Element,NUC 13 Compute Element
iot,R680EI-IM-A,R680EI-IM-A
iot,Q470EA-IM-A,Q470EA-IM-A
aiot,Coral M.2 Accelerator with Dual Edge TPU,Coral M.2 Accelerator with Dual Edge TPU
motherboards,,TUF Gaming GT502
aiot,PE200S,PE200S
iot,E393S-IM-AA,E393S-IM-AA
iot,N4200T-IM-A,N4200T-IM-A
servers,MCI-1G/350-2T,MCI-1G/350-2T
monitors,BE249QLBH,BE249QLBH
iot,C381ES-IM-AA,C381ES-IM-AA
accessories,AeroActive Cooler 6 for ROG Phone 5/5s Series,空氣動力風扇 6 適用於 ROG Phone 5/5s 系列
aiot,PV100A,PV100A
monitors,VP248QG,VP248QG
iot,E395S-IM-AA,E395S-IM-AA
monitors,ProArt Display PA24AC,ProArt Display PA24AC
motherboards,TUF GAMING X570-PLUS/BR,TUF GAMING X570-PLUS/BR
desktops,ExpertCenter D9 SFF (D900SC),ASUS ExpertCenter D9 SFF D900SC
nucs,NUC 12 Pro Mini PC for Zoom Room,NUC 12 Pro Mini PC for Zoom Room
nucs,NUC 11 Essential Board,NUC 11 Essential Board
iot,H310I-IM-A R2.0,H310I-IM-A R2.0
aiot,MXM-M23A-M5,MXM-M23A-M5
servers,EG520-E11-RS6-F,EG520-E11-RS6-F
laptops,"ExpertBook B5 Flip (B5402F, 11th Gen Intel)","ExpertBook B5 Flip (B5402F, 11th Gen Intel)"
monitors,VX24AH,VX24AH
monitors,TUF Gaming VG35VQ,TUF Gaming VG35VQ
aiot,AISEHS,AISEHS
graphics-cards,ROG XG Mobile (2023),ROG XG Mobile (2023)
iot,POE SPLITTER BOARD,POE SPLITTER BOARD
monitors,ProArt Display PQ22UC,ProArt Display PQ22UC
laptops,"ExpertBook B5 OLED (B5302C, 11th Gen Intel)","ExpertBook B5 OLED (B5302C, 11th Gen Intel)"
nucs,NUC Rugged Board/Chassis Element,NUC Rugged Board/Chassis Element
monitors,ProArt Display PA32UCX-K,ProArt Display PA32UCX-K
servers,RS500A-E9-RS4,RS500A-E9-RS4
accessories,Hyper M.2 x16 Gen 4 Card,HYPER M.2 X16 GEN 4 CARD
iot,V1605I-IM-A,V1605I-IM-A
nucs,NUC 11 Essential Mini PC,NUC 11 Essential Mini PC
servers,ESC4000A-E11,ESC4000A-E11
iot,C5134ES-IM-AA,C5134ES-IM-AA
monitors,VX207NE,VX207NE
accessories,ASUS W5000 Wireless Keyboard and Mouse Set,ASUS W5000 Wireless Keyboard and Mouse Set
aiot,EB-ITX-B,EB-ITX-B
motherboards,Hyper M.2 x16 Card V2,HYPER M.2 X16 CARD V2
aiot,PE5100D,PE5100D
servers,RS700-E9-RS12,RS700-E9-RS12
servers,PIKE II 3108-8i/16PD/2G,PIKE II 3108-8I/16PD/2G
monitors,VZ249H,VZ249H
monitors,VC279H,VC279H
aiot,Wireless Add-on board for Coral Dev Board Micro,Wireless Add-on board for Coral Dev Board Micro
aiot,EBE-4UG,EBE-4UG
iot,J3455I-CM-A,J3455I-CM-A
accessories,ASUS Sagaris GK1100 Mechanical Gaming Keyboard,ASUS Sagaris GK1100 Mechanical Gaming Keyboard
aiot,Coral M.2 Accelerator A+E key,Coral M.2 Accelerator A+E key
laptops,ASUS E203NA,ASUS E203NA
monitors,TUF Gaming VG32VQ,TUF GAMING VG32VQ
aiot,AISVision,AISVision
monitors,TUF Gaming VG24VQ,TUF GAMING VG24VQ
iot,J6412T-IM-A,J6412T-IM-A
wearable-healthcare,ASUS Handheld Ultrasound Solution for Veterinary Care,ASUS Handheld Ultrasound Solution for Veterinary Care
motherboards,PRIME B550M-A,PRIME B550M-A
iot,N5105I-IM-A,N5105I-IM-A
accessories,ASUS Car Charger with USB-C,ASUS Car Charger with USB-C
aiot,EBE-4U,EBE-4U
iot,N420S-IM-AA,N420S-IM-AA
iot,Tinker V,Tinker V
monitors,VG258QR,VG258QR
servers,RS720-E9-RS8-G,RS720-E9-RS8-G
accessories,ASUS SimPro Dock,ASUS SimPro Dock
networking,RT-BE88U,RT-BE88U
iot,J3455T-IM-A,J3455T-IM-A
laptops,FX705DD,DRW-24D5MTA
monitors,VS248H,VS248H
accessories,ROG SLASH Sling Bag 2.0,ROG SLASH 經典單肩包 2.0
accessories,ROG SLASH Hard Case Luggage,ROG SLASH 20 吋登機箱
accessories,ROG SLASH Duffle Bag,ROG SLASH 旅行袋
accessories,ROG Asymmetry Windbreaker,ROG Asymmetry Windbreaker
accessories,ROG Retro Punk T-Shirt,ROG Retro Punk T-Shirt
accessories,ROG Chariot Core Gaming Chair,ROG Chariot Core Gaming Chair
accessories,ROG Chariot Gaming Chair,ROG Chariot Gaming Chair
accessories,ROG Electro Punk T-Shirt,ROG Electro Punk T-Shirt
accessories,ROG Asymmetry Anorak Jacket,ROG Asymmetry Anorak Jacket
accessories,ROG Message Sweatshirt,ROG Message Sweatshirt
accessories,ROG Facial Reco Sweatshirt,ROG Facial Reco Sweatshirt
accessories,ROG Raikiri Pro,ROG Raikiri Pro
accessories,ROG Raikiri,ROG Raikiri
accessories,ROG Pixel Game Jacket,ROG Pixel Game Jacket
accessories,ROG Gravity Hoodie,ROG Gravity Hoodie
accessories,ROG Destrier Ergo Gaming Chair,ROG Destrier Ergo Gaming Chair
accessories,ROG PixelVerse T-shirt,ROG PixelVerse T-shirt
accessories,ROG Cosmic Wave T-shirt,ROG Cosmic Wave T-shirt
accessories,ROG White T-Shirt EVA Edition,ROG White T-Shirt EVA 限定版
accessories,ROG Black T-Shirt EVA Edition,ROG Black T-Shirt EVA 限定版
accessories,ROG Cosmic Lit Hoodie,ROG Cosmic Lit Hoodie
accessories,ROG Space Windbreaker,ROG Space 防風外套
accessories,ROG Cosmic Bomber Jacket,ROG Cosmic Bomber Jacket
accessories,ROG Tessen Mobile Controller,ROG Tessen Mobile Controller
accessories,ROG Cosmic Mat,ROG Cosmic Mat
accessories,ROG Aethon,ROG Aethon Gaming Chair
accessories,ROG Aethon Fabric Edition,ROG Aethon Fabric Edition
accessories,ROG Chariot X,ROG Chariot X
accessories,ROG Chariot X Core,ROG Chariot X Core
accessories,ROG Ombre T-shirt,ROG Ombre T-shirt
accessories,ROG DigiPixel T-shirt,ROG DigiPixel T-shirt
motherboards,ROG MAXIMUS VI IMPACT,ROG MAXIMUS VI IMPACT
motherboards,H81M-K,H81M-K
motherboards,ROG MAXIMUS VII RANGER,ROG MAXIMUS VII RANGER
motherboards,ROG MAXIMUS VIII FORMULA,ROG MAXIMUS VIII FORMULA
motherboards,ROG MAXIMUS VIII HERO ALPHA,ROG MAXIMUS VIII HERO ALPHA
motherboards,H110M-K,H110M-K
motherboards,ROG RAMPAGE V EDITION 10,ROG RAMPAGE V EDITION 10
motherboards,ROG STRIX X99 GAMING,ROG STRIX X99 GAMING
motherboards,ROG STRIX Z270E GAMING,ROG STRIX Z270E GAMING
motherboards,ROG MAXIMUS IX FORMULA,ROG MAXIMUS IX FORMULA
motherboards,ROG MAXIMUS IX HERO,ROG MAXIMUS IX HERO
motherboards,ROG STRIX H270F GAMING,ROG STRIX H270F GAMING
motherboards,ROG STRIX Z270G GAMING,ROG STRIX Z270G GAMING
motherboards,ROG MAXIMUS IX EXTREME,ROG MAXIMUS IX EXTREME
motherboards,ROG CROSSHAIR VI HERO,ROG CROSSHAIR VI HERO
motherboards,ROG STRIX Z270-I GAMING,ROG STRIX Z270-I GAMING
motherboards,ROG STRIX Z270H GAMING,ROG STRIX Z270H GAMING
motherboards,ROG STRIX Z270F GAMING,ROG STRIX Z270F GAMING
motherboards,ROG MAXIMUS IX APEX,ROG MAXIMUS IX APEX
motherboards,ROG STRIX B250F GAMING,ROG STRIX B250F GAMING
motherboards,ROG STRIX B250H GAMING,ROG STRIX B250H GAMING
motherboards,ROG STRIX B250G GAMING,ROG STRIX B250G GAMING
motherboards,PRIME A320M-K,PRIME A320M-K
motherboards,ROG STRIX H270I GAMING,ROG STRIX H270I GAMING
motherboards,ROG RAMPAGE VI EXTREME,ROG RAMPAGE VI EXTREME
motherboards,ROG STRIX X299-E GAMING,ROG STRIX X299-E GAMING
motherboards,ROG RAMPAGE VI APEX,ROG RAMPAGE VI APEX
motherboards,ROG CROSSHAIR VI EXTREME,ROG CROSSHAIR VI EXTREME
motherboards,ROG STRIX X370-F GAMING,ROG STRIX X370-F GAMING
motherboards,ROG STRIX B350-F GAMING,ROG STRIX B350-F GAMING
motherboards,ROG Zenith Extreme,ROG ZENITH EXTREME
motherboards,ROG ZENITH EXTREME,ROG ZENITH EXTREME
motherboards,ROG MAXIMUS X HERO,ROG MAXIMUS X HERO
motherboards,ROG STRIX Z370-E GAMING,ROG STRIX Z370-E GAMING
motherboards,ROG STRIX Z370-F GAMING,ROG STRIX Z370-F GAMING
motherboards,ROG STRIX X399-E GAMING,ROG STRIX X399-E GAMING
motherboards,ROG MAXIMUS X APEX,ROG MAXIMUS X APEX
motherboards,ROG STRIX B350-I GAMING,ROG STRIX B350-I GAMING
motherboards,ROG STRIX X370-I GAMING,ROG STRIX X370-I GAMING
motherboards,ROG STRIX Z370-H GAMING,ROG STRIX Z370-H GAMING
motherboards,ROG STRIX Z370-I GAMING,ROG STRIX Z370-I GAMING
motherboards,ROG MAXIMUS X FORMULA,ROG MAXIMUS X FORMULA
motherboards,ROG STRIX X299-XE GAMING,ROG STRIX X299-XE GAMING
motherboards,ROG STRIX Z370-G GAMING (WI-FI AC),ROG STRIX Z370-G GAMING (WI-FI AC)
motherboards,ROG STRIX Z370-G GAMING,ROG STRIX Z370-G GAMING
motherboards,PRIME H370M-PLUS/CSM,PRIME H370M-PLUS/CSM
motherboards,PRIME H370M-PLUS,PRIME H370M-PLUS
motherboards,ROG STRIX B360-G GAMING,ROG STRIX B360-G GAMING
motherboards,ROG STRIX H370-I GAMING,ROG STRIX H370-I GAMING
motherboards,ROG STRIX H370-F GAMING,ROG STRIX H370-F GAMING
motherboards,ROG STRIX B360-F GAMING,ROG STRIX B360-F GAMING
motherboards,ROG STRIX B360-I GAMING,ROG STRIX B360-I GAMING
motherboards,ROG STRIX B360-H GAMING,ROG STRIX B360-H GAMING
motherboards,TUF B360-PLUS GAMING,TUF B360-PLUS GAMING
motherboards,PRIME H310M-K,PRIME H310M-K
motherboards,ROG STRIX X470-I GAMING,ROG STRIX X470-I GAMING
motherboards,ROG CROSSHAIR VII HERO (WI-FI),ROG CROSSHAIR VII HERO (WI-FI)
motherboards,ROG STRIX X470-F GAMING,ROG STRIX X470-F GAMING
motherboards,ROG CROSSHAIR VII HERO,ROG CROSSHAIR VII HERO
motherboards,TUF H370-PRO GAMING (WI-FI),TUF H370-PRO GAMING (WI-FI)
motherboards,ROG MAXIMUS XI EXTREME,ROG MAXIMUS XI EXTREME
motherboards,ROG MAXIMUS XI HERO (WI-FI),ROG MAXIMUS XI HERO (WI-FI)
motherboards,ROG MAXIMUS XI HERO (WI-FI) Call of Duty - Black Ops 4 Edition,ROG MAXIMUS XI HERO (WI-FI) Call of Duty - Black Ops 4 Edition
motherboards,ROG MAXIMUS XI HERO,ROG MAXIMUS XI HERO
motherboards,ROG MAXIMUS XI FORMULA,ROG MAXIMUS XI FORMULA
motherboards,ROG MAXIMUS XI APEX,ROG MAXIMUS XI APEX
motherboards,TUF Z390-PRO GAMING,TUF Z390-PRO GAMING
motherboards,ROG STRIX Z390-I GAMING,ROG STRIX Z390-I GAMING
motherboards,ROG STRIX Z390-E GAMING,ROG STRIX Z390-E GAMING
motherboards,ROG STRIX Z390-F GAMING,ROG STRIX Z390-F GAMING
motherboards,PRIME B450M-K,PRIME B450M-K
motherboards,TUF B450M-PLUS GAMING,TUF B450M-PLUS GAMING
motherboards,ROG STRIX B450-F GAMING,ROG STRIX B450-F GAMING
motherboards,PRIME Z390-A,PRIME Z390-A
motherboards,ROG STRIX Z390-H GAMING,ROG STRIX Z390-H GAMING
motherboards,PRIME H310M-D R2.0/CSM,PRIME H310M-D R2.0/CSM
motherboards,PRIME H310M-K R2.0,PRIME H310M-K R2.0
motherboards,ROG STRIX B450-I GAMING,ROG STRIX B450-I GAMING
motherboards,PRIME Z390M-PLUS,PRIME Z390M-PLUS
motherboards,ROG RAMPAGE VI EXTREME OMEGA,ROG RAMPAGE VI EXTREME OMEGA
motherboards,PRIME Z370M-PLUS II,PRIME Z370M-PLUS II
motherboards,ROG Dominus Extreme,ROG Dominus Extreme
motherboards,ROG STRIX B450-E GAMING,ROG STRIX B450-E GAMING
motherboards,TUF B450M-PRO GAMING,TUF B450M-PRO GAMING
motherboards,TUF B450-PRO GAMING,TUF B450-PRO GAMING
motherboards,ROG MAXIMUS XI GENE,ROG MAXIMUS XI GENE
motherboards,ROG Zenith Extreme Alpha,ROG Zenith Extreme Alpha
motherboards,PRIME B365M-K,PRIME B365M-K
motherboards,PRIME B365M-A,PRIME B365M-A
motherboards,ROG Crosshair VIII Hero (WI-FI),ROG Crosshair VIII Hero (WI-FI)
motherboards,PRIME B365M-C/CSM,PRIME B365M-C/CSM
motherboards,ROG Crosshair VIII Formula,ROG Crosshair VIII Formula
motherboards,ROG Strix X570-I Gaming,ROG Strix X570-I Gaming
motherboards,ROG Strix X570-E Gaming,ROG Strix X570-E Gaming
motherboards,ROG Strix X570-F Gaming,ROG Strix X570-F Gaming
motherboards,TUF GAMING X570-PLUS (WI-FI),TUF GAMING X570-PLUS (WI-FI)
motherboards,TUF GAMING X570-PLUS,TUF GAMING X570-PLUS
motherboards,ROG Strix X299-E Gaming II,ROG Strix X299-E Gaming II
motherboards,PRIME X570-PRO/CSM,PRIME X570-PRO/CSM
motherboards,ROG STRIX B365-F GAMING,ROG STRIX B365-F GAMING
motherboards,ROG Rampage VI Extreme Encore,ROG Rampage VI Extreme Encore
motherboards,PRIME X570-P,PRIME X570-P
motherboards,ROG Crosshair VIII Impact,ROG Crosshair VIII Impact
motherboards,ROG Zenith II Extreme,ROG Zenith II Extreme
motherboards,ROG Strix TRX40-E Gaming,ROG Strix TRX40-E Gaming
motherboards,Prime TRX40-Pro,Prime TRX40-Pro
motherboards,ROG MAXIMUS XII EXTREME,ROG MAXIMUS XII EXTREME
motherboards,ROG STRIX Z490-E GAMING,ROG STRIX Z490-E GAMING
motherboards,ROG STRIX Z490-F GAMING,ROG STRIX Z490-F GAMING
motherboards,ROG MAXIMUS XII HERO (WI-FI),ROG MAXIMUS XII HERO (WI-FI)
motherboards,ROG STRIX Z490-H GAMING,ROG STRIX Z490-H GAMING
motherboards,ROG STRIX H470-I GAMING,ROG STRIX H470-I GAMING
motherboards,PRIME Z490M-PLUS,PRIME Z490M-PLUS
motherboards,ROG STRIX Z490-A GAMING,ROG STRIX Z490-A GAMING
motherboards,ROG STRIX Z490-G GAMING (WI-FI),ROG STRIX Z490-G GAMING (WI-FI)
motherboards,TUF GAMING Z490-PLUS (WI-FI),TUF GAMING Z490-PLUS (WI-FI)
motherboards,TUF GAMING Z490-PLUS,TUF GAMING Z490-PLUS
motherboards,PRIME H470M-PLUS/CSM,PRIME H470M-PLUS/CSM
motherboards,PRIME H470M-PLUS,PRIME H470M-PLUS
motherboards,PRIME H470-PLUS,PRIME H470-PLUS
motherboards,ROG MAXIMUS XII FORMULA,ROG MAXIMUS XII FORMULA
motherboards,Pro Q470M-C/CSM,Pro Q470M-C/CSM
